Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
Axis Bank Ltd,AXISBANK24AUG1120PE,Buy,19.0,14.0,30.0,1-2 Days,0.0,2024-08-08 05:33:37+00:00,Upward
CCL Products (India) Ltd,CCL,Buy,648.0,615.0,718.0,5-10 Days,0.0,2024-08-07 09:41:56+00:00,Upward
PNB Housing Finance Ltd,PNBHOUSING,Buy,808.0,770.0,890.0,5-10 Days,0.0,2024-08-07 06:37:30+00:00,Upward
KPR Mill Limited,KPRMILL,Buy,955.0,764.0,,1 Year,-0.23174603174603176,2024-08-07 06:19:36+00:00,Downward
Astral Ltd,ASTRAL24AUG2100CE,Buy,81.0,67.0,114.0,1-2 Days,0.0,2024-08-07 04:55:54+00:00,Upward
BLS International Services Limited,BLS,Buy,385.0,308.0,,1 Year,-0.1853968253968254,2024-08-07 04:14:16+00:00,Downward
PG Electroplast Ltd,PGEL,Buy,420.0,358.0,,6 Months,0.06000000000000001,2024-08-05 04:44:35+00:00,Upward
Adani Ports & Special Economic Zone Ltd,ADANIPORTS,Buy,1575.0,1419.0,,6 Months,0.12244897959183675,2024-08-02 05:32:29+00:00,Upward
Mahindra & Mahindra Ltd,M&M24AUG2800CE,Buy,72.0,61.0,85.0,1-2 Days,0.0,2024-08-02 05:20:46+00:00,Upward
Rossari Biotech Ltd,ROSSARI,Buy,889.0,840.0,980.0,5-10 Days,0.0,2024-08-02 04:19:33+00:00,Upward
NIFTY,NIFTY2480124950PE,Buy,13.0,1.0,40.0,INTRADAY,0.0,2024-08-01 06:51:58+00:00,Upward
Delhivery Ltd,DELHIVERY,Buy,406.0,382.0,448.0,5-10 Days,0.0,2024-08-01 06:13:21+00:00,Upward
Phillips Carbon Black Limited,PCBL,Buy,347.0,277.0,,1 Year,-0.21873015873015875,2024-08-01 04:55:40+00:00,Downward
Life Insurance Corporation of India,LICI,Buy,1202.0,1138.0,1330.0,5-10 Days,0.0,2024-08-01 04:20:28+00:00,Upward
NIFTY,NIFTY2480124800CE,Buy,165.0,130.0,230.0,INTRADAY,0.0,2024-07-31 06:48:59+00:00,Upward
Torrent Power Ltd,TORNTPOWER,Buy,1855.0,1500.0,,6 Months,0.06000000000000001,2024-07-31 05:52:06+00:00,Upward
MOIL Ltd,MOIL,Buy,499.0,440.0,,6 Months,0.06000000000000001,2024-07-31 05:29:23+00:00,Upward
Jindal Steel & Power Ltd,JINDALSTEL24AUG980CE,Buy,34.0,29.0,42.0,1-2 Days,0.0,2024-07-31 05:12:51+00:00,Upward
NIFTY,NIFTY2480124800CE,Buy,185.0,148.0,250.0,INTRADAY,0.0,2024-07-30 09:00:37+00:00,Upward
MIDCAPNIFTY,MIDCPNIFTY2480512850CE,Buy,136.0,125.0,160.0,INTRADAY,0.0,2024-07-30 08:23:46+00:00,Upward
NIFTY,NIFTY2480124800CE,Buy,152.0,120.0,230.0,INTRADAY,0.0,2024-07-30 05:06:55+00:00,Upward
Zen Technologies Ltd,ZENTEC,Buy,1648.0,1328.0,,6 Months,0.06000000000000001,2024-07-30 04:26:48+00:00,Upward
Dr Lal Pathlabs Ltd,LALPATHLAB24AUG3100CE,Buy,111.0,89.0,144.0,1-2 Days,0.0,2024-07-30 04:18:56+00:00,Upward
Rites Ltd,RITES,Buy,762.0,610.0,,1 Year,-0.2851851851851852,2024-07-30 04:03:17+00:00,Downward
Anant Raj Ltd,ANANTRAJ,Buy,557.0,460.0,,6 Months,0.06000000000000001,2024-07-29 08:48:20+00:00,Upward
Ajmera Realty & Infra India Ltd,AJMERA,Buy,735.0,695.0,815.0,5-10 Days,0.0,2024-07-29 04:13:59+00:00,Upward
Astrazeneca Pharma India Ltd,ASTRAZEN,Buy,7240.0,5792.0,,1 Year,-0.2851851851851852,2024-07-26 09:45:38+00:00,Downward
BANKNIFTY,BANKNIFTY24JUL51000CE,Buy,325.0,270.0,470.0,INTRADAY,0.0,2024-07-26 06:30:18+00:00,Upward
Maruti Suzuki India Ltd,MARUTI24AUG12500CE,Buy,351.0,285.0,480.0,1-2 Days,0.0,2024-07-26 05:46:25+00:00,Upward
MIDCAPNIFTY,MIDCAP 12350,Buy,133.0,120.0,150.0,INTRADAY,0.0,2024-07-25 07:57:33+00:00,Upward
BANKNIFTY,BANKNIFTY24JUL50600CE,Buy,530.0,430.0,700.0,INTRADAY,0.0,2024-07-25 06:07:13+00:00,Upward
Aurobindo Pharma Ltd,AUROPHARMA24AUG1360PE,Buy,44.0,37.0,55.0,1-2 Days,0.0,2024-07-24 08:40:05+00:00,Upward
BANKNIFTY,51300CE,Buy,30.0,1.0,90.0,INTRADAY,0.0,2024-07-24 07:12:54+00:00,Upward
NIFTY,24500PE,Buy,145.0,100.0,230.0,INTRADAY,0.0,2024-07-24 05:57:49+00:00,Upward
FINNIFTY,23300PE,Buy,215.0,190.0,270.0,INTRADAY,0.0,2024-07-24 05:27:31+00:00,Upward
Ajanta Pharma Ltd,AJANTPHARM,Buy,2365.0,2250.0,2560.0,5-10 Days,0.0,2024-07-24 04:42:50+00:00,Upward
Tata Motors-DVR,TATAMTRDVR,Buy,693.0,660.0,763.0,5-10 Days,0.0,2024-07-24 04:09:40+00:00,Upward
NIFTY,24600PE,Buy,295.0,245.0,380.0,INTRADAY,0.0,2024-07-23 04:34:03+00:00,Upward
BANKNIFTY,BANKNIFTY24JUL2452600CE,Buy,375.0,300.0,490.0,INTRADAY,0.0,2024-07-22 08:20:40+00:00,Upward
BUY BANKNIFTY 24 JUL 52400 PUT 605 SL 500 TGT 750,BUY BANKNIFTY 24 JUL 52400 PUT 605 SL 500 TGT 750,Buy,605.0,500.0,750.0,INTRADAY,0.0,2024-07-22 06:11:28+00:00,Upward
Alembic Pharmaceuticals Limited,APLLTD,Buy,1125.0,900.0,,1 Year,-0.23174603174603176,2024-07-22 04:15:51+00:00,Downward
BUY NIFTY 25 JUL 24600 CALL 171 SL 120 TGT 250,BUY NIFTY 25 JUL 24600 CALL 171 SL 120 TGT 250,Buy,170.0,120.0,250.0,INTRADAY,0.0,2024-07-22 04:09:13+00:00,Upward
Talbros Automotive Components Ltd,TALBROAUTO,Buy,362.0,345.0,395.0,5-10 Days,0.0,2024-07-18 06:47:12+00:00,Upward
Himadri Speciality Chemical Ltd,HSCL,Buy,431.0,380.0,,6 Months,0.06000000000000001,2024-07-18 03:52:28+00:00,Upward
Refex Industries Ltd,REFEX,Buy,232.0,220.0,258.0,5-10 Days,0.0,2024-07-16 06:56:54+00:00,Upward
Agro Tech Foods Ltd,ATFL,Buy,870.0,815.0,960.0,5-10 Days,0.0,2024-07-15 08:44:34+00:00,Upward
Adani Ports & Special Economic Zone Ltd,ADANIPORTS24JUL1500CE,Buy,36.0,30.0,46.0,1-2 Days,0.2785714285714286,2024-07-15 07:05:24+00:00,Upward
Jyothy Labs Ltd,JYOTHYLAB,Buy,498.0,475.0,545.0,5-10 Days,0.0,2024-07-15 06:20:24+00:00,Upward
Sonata Software Ltd,SONATSOFTW,Buy,699.0,559.0,,1 Year,-0.2851851851851852,2024-07-15 04:59:37+00:00,Downward
VARDHMAN TEXTILES LIMITED,VTL,Buy,562.0,450.0,,1 Year,-0.23174603174603176,2024-07-15 04:45:54+00:00,Downward
Britannia Industries Ltd,BRITANNIA24JUL5700PE,Buy,67.0,48.0,93.0,1-2 Days,0.0,2024-07-12 06:12:17+00:00,Upward
JUBILANT INGREVIA LIMITED,JUBLINGREA,Buy,602.0,481.0,,1 Year,-0.23174603174603176,2024-07-12 05:47:49+00:00,Downward
PTC India Ltd,PTC,Buy,232.0,218.0,249.0,5-10 Days,0.0,2024-07-12 04:17:01+00:00,Upward
