Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
MIDCAPNIFTY,MIDCPNIFTY24N1812150CE,Buy,78.0,55.0,120.0,INTRADAY,0.0,2024-11-14 04:45:42+00:00,Upward
NIFTY,NIFTY24N1423650CE,Buy,155.0,125.0,200.0,INTRADAY,0.0,2024-11-13 05:26:34+00:00,Upward
NAMINDIA,NAM-INDIA,Buy,705.0,685.0,,5-10 Days,0.0,2024-11-12 05:10:12+00:00,Upward
MIDCAPNIFTY,MIDCPNIFTY24N1812600PE,Buy,160.0,140.0,200.0,INTRADAY,0.0,2024-11-12 05:08:09+00:00,Upward
NIIT Ltd,NIITLTD,Buy,196.0,180.0,240.0,5-10 Days,0.0,2024-11-11 06:04:54+00:00,Upward
NIFTY,NIFTY24N1424200PE,Buy,174.0,145.0,220.0,INTRADAY,0.0,2024-11-08 06:06:47+00:00,Upward
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Buy,7440.0,5953.0,,6 Months,-0.012499999999999992,2024-11-08 05:18:11+00:00,Downward
Larsen & Toubro Ltd,LT24NOV3650PE,Buy,54.0,41.0,80.0,1-2 Days,0.0,2024-11-08 05:12:03+00:00,Upward
BANKNIFTY,BANKNIFTY13NOV2451800PE,Buy,390.0,335.0,500.0,INTRADAY,0.0,2024-11-07 06:35:10+00:00,Upward
Tejas Networks Ltd,TEJASNET,Buy,1400.0,1125.0,,6 Months,-0.012499999999999992,2024-11-06 09:43:42+00:00,Downward
TVS Motor Company Ltd,TVSMOTOR,Buy,2485.0,1990.0,,6 Months,-0.012499999999999992,2024-11-06 09:42:34+00:00,Downward
Firstsource Solutions Ltd,FSL,Buy,383.0,365.0,440.0,5-10 Days,0.0,2024-11-06 08:32:29+00:00,Upward
FINNIFTY,FINNIFTY24N1224150CE,Buy,209.0,179.0,270.0,INTRADAY,0.0,2024-11-06 06:06:08+00:00,Upward
Tasty Bite Eatables Ltd,TASTYBITE,Buy,12190.0,11480.0,14300.0,5-10 Days,0.0,2024-11-06 04:21:45+00:00,Upward
Marksans Pharma Ltd,MARKSANS,Buy,293.0,278.0,344.0,5-10 Days,0.0,2024-11-05 09:06:33+00:00,Upward
Pidilite Industries Ltd,PIDILITIND24NOV3100PE,Buy,67.0,53.0,93.0,1-2 Days,0.0,2024-11-05 06:14:55+00:00,Upward
NIFTY,NIFTY24N0724000CE,Buy,170.0,150.0,250.0,INTRADAY,0.0,2024-11-05 05:02:41+00:00,Upward
NIFTY,NIFTY24N0724100PE,Buy,255.0,220.0,320.0,INTRADAY,0.0,2024-11-05 04:20:39+00:00,Upward
Gufic BioSciences Ltd,GUFICBIO,Buy,470.0,440.0,540.0,5-10 Days,0.0,2024-11-05 03:54:41+00:00,Upward
Lupin Ltd,LUPIN24NOV2180PE,Buy,95.0,87.0,112.0,1-2 Days,0.0,2024-10-31 06:01:14+00:00,Upward
Poly Medicure Ltd,POLYMED,Buy,2690.0,2152.0,,6 Months,-0.012499999999999992,2024-10-30 05:28:16+00:00,Downward
Gillette India Limited,GILLETTE,Buy,9685.0,7748.0,,1 Year,-0.23174603174603176,2024-10-30 04:53:35+00:00,Downward
JSW Steel Ltd,JSWSTEEL24NOV960CE,Buy,35.0,30.0,44.0,1-2 Days,0.0,2024-10-30 04:52:07+00:00,Upward
Poly Medicure Ltd,POLYMED,Buy,2722.0,2610.0,3040.0,5-10 Days,0.0,2024-10-30 04:07:38+00:00,Upward
Sun Pharmaceuticals Industries Ltd,SUNPHARMA,Buy,1869.0,1498.0,,6 Months,-0.012499999999999992,2024-10-29 05:56:20+00:00,Downward
MIDCAPNIFTY,MIDCPNIFTY24N0412400PE,Buy,140.0,125.0,170.0,INTRADAY,0.0,2024-10-29 05:07:29+00:00,Upward
HDFC Bank Ltd,HDFCBANK24NOV1740PE,Buy,38.0,32.0,48.0,1-2 Days,0.0,2024-10-28 08:46:44+00:00,Upward
Kotak Mahindra Bank Ltd,KOTAKBANK24NOV1760PE,Buy,36.0,28.0,48.0,1-2 Days,0.0,2024-10-28 06:32:49+00:00,Upward
Hero MotoCorp Ltd,HEROMOTOCO24OCT5100PE,Buy,79.0,64.0,108.0,1-2 Days,0.0,2024-10-24 07:56:31+00:00,Upward
Neogen Chemicals Ltd,NEOGEN,Buy,2000.0,1880.0,2340.0,5-10 Days,0.0,2024-10-24 05:57:58+00:00,Upward
Deepak Fertilisers And Petrochemicals Corporation Ltd,DEEPAKFERT,Buy,1124.0,899.0,,1 Year,-0.2851851851851852,2024-10-24 05:52:23+00:00,Downward
NIFTY,NIFTY24OCT24500PE,Buy,180.0,160.0,240.0,INTRADAY,0.0,2024-10-24 05:41:26+00:00,Upward
Persistent Systems Ltd,PERSISTENT,Buy,5643.0,4514.0,,6 Months,-0.012499999999999992,2024-10-24 05:21:07+00:00,Downward
Avenue Supermarts Ltd,DMART,Buy,4070.0,3870.0,4400.0,5-10 Days,0.0,2024-10-23 06:15:17+00:00,Upward
NIFTY,NIFTY24O2424700CE,Buy,180.0,155.0,250.0,INTRADAY,0.0,2024-10-22 04:15:44+00:00,Upward
EPL Ltd,EPL,Buy,274.0,260.0,302.0,5-10 Days,0.0,2024-10-21 06:11:39+00:00,Upward
FINNIFTY,FINNIFTY24O2224100CE,Buy,85.0,50.0,140.0,INTRADAY,0.0,2024-10-21 04:37:38+00:00,Upward
NIFTY,NIFTY24O2424600CE,Buy,225.0,190.0,270.0,INTRADAY,0.0,2024-10-18 05:01:21+00:00,Upward
Aurobindo Pharma Ltd,AUROPHARMA24OCT1480PE,Buy,29.0,21.0,46.0,1-2 Days,0.0,2024-10-17 08:49:27+00:00,Upward
NIFTY,NIFTY24O1724850CE,Buy,8.0,1.0,30.0,INTRADAY,0.0,2024-10-17 06:50:49+00:00,Upward
Aegis Logistics Ltd,AEGISLOG,Buy,732.0,697.0,795.0,5-10 Days,0.0,2024-10-17 05:29:49+00:00,Upward
Motilal Oswal Financial Services Limited,MOTILALOFS,Buy,946.0,757.0,,1 Year,-0.1853968253968254,2024-10-16 04:48:44+00:00,Downward
AU Small Finance Bank Ltd,AUBANK24OCT690CE,Buy,17.0,13.0,27.0,1-2 Days,-0.25,2024-10-15 08:14:33+00:00,Downward
Dabur India Ltd,DABUR24OCT570CE,Buy,10.0,7.0,16.0,1-2 Days,0.0,2024-10-15 05:50:18+00:00,Upward
Anant Raj Ltd,ANANTRAJ,Buy,765.0,728.0,858.0,5-10 Days,0.0,2024-10-14 09:56:38+00:00,Upward
NIFTY,NIFTY24O1725000CE,Buy,200.0,175.0,260.0,INTRADAY,0.0,2024-10-14 06:14:06+00:00,Upward
Narayana Hrudayalaya Ltd,NH,Buy,1244.0,1198.0,1310.0,5-10 Days,0.0,2024-10-14 06:02:17+00:00,Upward
Macrotech Developers Ltd,LODHA,Buy,1189.0,1148.0,1270.0,5-10 Days,0.0,2024-10-14 05:28:12+00:00,Upward
Titan Company Ltd,TITAN24OCT3500CE,Buy,76.0,66.0,98.0,1-2 Days,0.0,2024-10-14 05:21:29+00:00,Upward
Goldiam International Ltd,GOLDIAM,Buy,368.0,345.0,418.0,5-10 Days,0.0,2024-10-14 04:36:02+00:00,Upward
NIFTY,NIFTY24O1725000PE,Buy,165.0,135.0,230.0,INTRADAY,0.0,2024-10-11 05:37:35+00:00,Upward
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,Buy,460.0,428.0,560.0,5-10 Days,0.0,2024-10-10 08:25:02+00:00,Upward
BANKNIFTY,BANKNIFTY16OCT2451100CE,Buy,542.0,495.0,670.0,INTRADAY,0.0,2024-10-10 06:21:17+00:00,Upward
Vindhya Telelinks Ltd,VINDHYATEL,Buy,2.0,,,1 Year,0.06666666666666665,2024-10-10 05:57:55+00:00,Upward
Tata Communications Ltd,TATACOMM24OCT2000CE,Buy,50.0,40.0,76.0,1-2 Days,0.0,2024-10-10 04:30:09+00:00,Upward
NIFTY,NIFTY24O1025100PE,Buy,120.0,90.0,170.0,INTRADAY,0.0,2024-10-10 04:25:38+00:00,Upward
NIFTY,NIFTY24O1025150CE,Buy,119.0,85.0,190.0,INTRADAY,0.0,2024-10-09 05:23:31+00:00,Upward
Astrazeneca Pharma India Ltd,ASTRAZEN,Buy,7940.0,7580.0,8750.0,5-10 Days,0.0,2024-10-09 05:11:30+00:00,Upward
Parag Milk Foods Ltd,PARAGMILK,Buy,217.0,203.0,245.0,5-10 Days,0.0,2024-10-09 04:48:51+00:00,Upward
FSN E-Commerce Ventures Ltd,NYKAA,Buy,192.0,182.0,218.0,5-10 Days,0.0,2024-10-08 09:42:59+00:00,Upward
Tech Mahindra Ltd,TECHM24OCT1620PE,Buy,49.0,42.0,62.0,1-2 Days,0.0,2024-10-08 05:32:25+00:00,Upward
Blue Dart Express Ltd,BLUEDART,Buy,8450.0,8115.0,9300.0,5-10 Days,0.0,2024-10-07 06:26:55+00:00,Upward
NIFTY,NIFTY24O1025100PE,Buy,185.0,150.0,250.0,INTRADAY,0.0,2024-10-07 05:08:24+00:00,Upward
Oracle Financial Services Software Ltd,OFSS24OCT11000PE,Buy,396.0,348.0,540.0,1-2 Days,0.0,2024-10-04 09:01:03+00:00,Upward
Tata Chemicals Ltd,TATACHEM,Buy,1131.0,1068.0,1210.0,5-10 Days,0.0,2024-10-03 09:50:17+00:00,Upward
FINNIFTY,NIFTY24O0324300PE,Buy,190.0,155.0,270.0,INTRADAY,0.0,2024-10-03 04:50:41+00:00,Upward
Power Finance Corporation Ltd,PFC24OCT500CE,Buy,20.0,17.0,25.0,1-2 Days,0.0,2024-09-30 07:12:38+00:00,Upward
Welspun Corp Ltd,WELCORP,Buy,745.0,710.0,830.0,5-10 Days,0.0,2024-09-27 06:25:56+00:00,Upward
FINNIFTY,FINNIFTY24O0124950CE,Buy,230.0,200.0,300.0,INTRADAY,0.0,2024-09-27 04:57:13+00:00,Upward
FINNIFTY,FINNIFTY24O0124950CE,Buy,190.0,165.0,250.0,INTRADAY,0.0,2024-09-26 04:47:29+00:00,Upward
NIFTY,NIFTY24SEP26000PE,Buy,114.0,95.0,170.0,INTRADAY,0.0,2024-09-25 06:20:30+00:00,Upward
NIFTY,NIFTY24SEP25900CE,Buy,135.0,120.0,170.0,INTRADAY,0.0,2024-09-24 07:15:39+00:00,Upward
Schaeffler India Ltd,SCHAEFFLER,Buy,3980.0,3750.0,4380.0,5-10 Days,0.0,2024-09-24 06:18:51+00:00,Upward
BANKNIFTY,BANKNIFTY24SEP54100PE,Buy,260.0,180.0,370.0,INTRADAY,0.0,2024-09-24 06:03:32+00:00,Upward
Amber Enterprises India Limited,AMBER,Buy,5190.0,4152.0,,1 Year,-0.23174603174603176,2024-09-24 04:46:45+00:00,Downward
Navin Fluorine International Ltd,NAVINFLUOR,Buy,3340.0,3180.0,3700.0,5-10 Days,0.0,2024-09-23 06:16:02+00:00,Upward
NIFTY,NIFTY24SEP25800CE,Buy,182.0,160.0,250.0,INTRADAY,0.0,2024-09-23 05:45:25+00:00,Upward
HEG Limited,HEG,Buy,2290.0,1832.0,,3 Months,0.2142857142857143,2024-09-20 05:52:41+00:00,Upward
Uno Minda Ltd,UNOMINDA,Buy,1085.0,1040.0,1180.0,5-10 Days,0.0,2024-09-20 05:38:43+00:00,Upward
NIFTY,NIFTY24SEP25500PE,Buy,136.0,115.0,185.0,INTRADAY,0.0,2024-09-19 05:55:36+00:00,Upward
Reliance Infrastructure Ltd,RELINFRA,Buy,268.0,252.0,318.0,5-10 Days,0.0,2024-09-18 08:41:25+00:00,Upward
NIFTY,NIFTY2491925300CE,Buy,172.0,145.0,250.0,INTRADAY,0.0,2024-09-18 05:09:15+00:00,Upward
Action Construction Equipment Ltd,ACE,Buy,1380.0,1300.0,1520.0,5-10 Days,0.1,2024-09-18 04:31:44+00:00,Upward
Interglobe Aviation Ltd,INDIGO24SEP4900PE,Buy,55.0,38.0,94.0,1-2 Days,0.0,2024-09-17 09:02:22+00:00,Upward
Maruti Suzuki India Ltd,MARUTI24SEP12200PE,Buy,150.0,95.0,240.0,1-2 Days,0.0,2024-09-17 06:53:43+00:00,Upward
BSE Limited,BSE,Buy,3500.0,2800.0,,1 Year,-0.23174603174603176,2024-09-17 03:59:09+00:00,Downward
Hindustan Aeronautics Ltd,HAL24SEP4600PE,Buy,85.0,71.0,114.0,1-2 Days,0.0,2024-09-16 05:35:25+00:00,Upward
Marksans Pharma Ltd,MARKSANS,Buy,284.0,270.0,308.0,5-10 Days,0.0,2024-09-16 04:16:27+00:00,Upward
