Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Stock Movement
Marksans Pharma Ltd,MARKSANS,Buy,293.0,278.0,344.0,5-10 Days,0.0,Upward
Pidilite Industries Ltd,PIDILITIND24NOV3100PE,Buy,67.0,53.0,93.0,1-2 Days,0.0,Upward
NIFTY,NIFTY24N0724000CE,Buy,170.0,150.0,250.0,INTRADAY,0.0,Upward
NIFTY,NIFTY24N0724100PE,Buy,255.0,220.0,320.0,INTRADAY,0.0,Upward
Gufic BioSciences Ltd,GUFICBIO,Buy,470.0,440.0,540.0,5-10 Days,0.0,Upward
Lupin Ltd,LUPIN24NOV2180PE,Buy,95.0,87.0,112.0,1-2 Days,0.0,Upward
Poly Medicure Ltd,POLYMED,Buy,2690.0,2152.0,,6 Months,-0.012499999999999992,Downward
Gillette India Limited,GILLETTE,Buy,9685.0,7748.0,,1 Year,-0.23174603174603176,Downward
JSW Steel Ltd,JSWSTEEL24NOV960CE,Buy,35.0,30.0,44.0,1-2 Days,0.0,Upward
Poly Medicure Ltd,POLYMED,Buy,2722.0,2610.0,3040.0,5-10 Days,0.0,Upward
Sun Pharmaceuticals Industries Ltd,SUNPHARMA,Buy,1869.0,1498.0,,6 Months,-0.012499999999999992,Downward
MIDCAPNIFTY,MIDCPNIFTY24N0412400PE,Buy,140.0,125.0,170.0,INTRADAY,0.0,Upward
HDFC Bank Ltd,HDFCBANK24NOV1740PE,Buy,38.0,32.0,48.0,1-2 Days,0.0,Upward
Kotak Mahindra Bank Ltd,KOTAKBANK24NOV1760PE,Buy,36.0,28.0,48.0,1-2 Days,0.0,Upward
Hero MotoCorp Ltd,HEROMOTOCO24OCT5100PE,Buy,79.0,64.0,108.0,1-2 Days,0.0,Upward
Neogen Chemicals Ltd,NEOGEN,Buy,2000.0,1880.0,2340.0,5-10 Days,0.0,Upward
Deepak Fertilisers And Petrochemicals Corporation Ltd,DEEPAKFERT,Buy,1124.0,899.0,,1 Year,-0.2851851851851852,Downward
NIFTY,NIFTY24OCT24500PE,Buy,180.0,160.0,240.0,INTRADAY,0.0,Upward
Persistent Systems Ltd,PERSISTENT,Buy,5643.0,4514.0,,6 Months,-0.012499999999999992,Downward
Avenue Supermarts Ltd,DMART,Buy,4070.0,3870.0,4400.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24O2424700CE,Buy,180.0,155.0,250.0,INTRADAY,0.0,Upward
EPL Ltd,EPL,Buy,274.0,260.0,302.0,5-10 Days,0.0,Upward
FINNIFTY,FINNIFTY24O2224100CE,Buy,85.0,50.0,140.0,INTRADAY,0.0,Upward
NIFTY,NIFTY24O2424600CE,Buy,225.0,190.0,270.0,INTRADAY,0.0,Upward
Aurobindo Pharma Ltd,AUROPHARMA24OCT1480PE,Buy,29.0,21.0,46.0,1-2 Days,0.0,Upward
NIFTY,NIFTY24O1724850CE,Buy,8.0,1.0,30.0,INTRADAY,0.0,Upward
Aegis Logistics Ltd,AEGISLOG,Buy,732.0,697.0,795.0,5-10 Days,0.0,Upward
Motilal Oswal Financial Services Limited,MOTILALOFS,Buy,946.0,757.0,,1 Year,-0.1853968253968254,Downward
AU Small Finance Bank Ltd,AUBANK24OCT690CE,Buy,17.0,13.0,27.0,1-2 Days,-0.25,Downward
Dabur India Ltd,DABUR24OCT570CE,Buy,10.0,7.0,16.0,1-2 Days,0.0,Upward
Anant Raj Ltd,ANANTRAJ,Buy,765.0,728.0,858.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24O1725000CE,Buy,200.0,175.0,260.0,INTRADAY,0.0,Upward
Narayana Hrudayalaya Ltd,NH,Buy,1244.0,1198.0,1310.0,5-10 Days,0.0,Upward
Macrotech Developers Ltd,LODHA,Buy,1189.0,1148.0,1270.0,5-10 Days,0.0,Upward
Titan Company Ltd,TITAN24OCT3500CE,Buy,76.0,66.0,98.0,1-2 Days,0.0,Upward
Goldiam International Ltd,GOLDIAM,Buy,368.0,345.0,418.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24O1725000PE,Buy,165.0,135.0,230.0,INTRADAY,0.0,Upward
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,Buy,460.0,428.0,560.0,5-10 Days,0.0,Upward
BANKNIFTY,BANKNIFTY16OCT2451100CE,Buy,542.0,495.0,670.0,INTRADAY,0.0,Upward
Vindhya Telelinks Ltd,VINDHYATEL,Buy,2.0,,,1 Year,0.06666666666666665,Upward
Tata Communications Ltd,TATACOMM24OCT2000CE,Buy,50.0,40.0,76.0,1-2 Days,0.0,Upward
NIFTY,NIFTY24O1025100PE,Buy,120.0,90.0,170.0,INTRADAY,0.0,Upward
NIFTY,NIFTY24O1025150CE,Buy,119.0,85.0,190.0,INTRADAY,0.0,Upward
Astrazeneca Pharma India Ltd,ASTRAZEN,Buy,7940.0,7580.0,8750.0,5-10 Days,0.0,Upward
Parag Milk Foods Ltd,PARAGMILK,Buy,217.0,203.0,245.0,5-10 Days,0.0,Upward
FSN E-Commerce Ventures Ltd,NYKAA,Buy,192.0,182.0,218.0,5-10 Days,0.0,Upward
Tech Mahindra Ltd,TECHM24OCT1620PE,Buy,49.0,42.0,62.0,1-2 Days,0.0,Upward
Blue Dart Express Ltd,BLUEDART,Buy,8450.0,8115.0,9300.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24O1025100PE,Buy,185.0,150.0,250.0,INTRADAY,0.0,Upward
Oracle Financial Services Software Ltd,OFSS24OCT11000PE,Buy,396.0,348.0,540.0,1-2 Days,0.0,Upward
Tata Chemicals Ltd,TATACHEM,Buy,1131.0,1068.0,1210.0,5-10 Days,0.0,Upward
FINNIFTY,NIFTY24O0324300PE,Buy,190.0,155.0,270.0,INTRADAY,0.0,Upward
Power Finance Corporation Ltd,PFC24OCT500CE,Buy,20.0,17.0,25.0,1-2 Days,0.0,Upward
Welspun Corp Ltd,WELCORP,Buy,745.0,710.0,830.0,5-10 Days,0.0,Upward
FINNIFTY,FINNIFTY24O0124950CE,Buy,230.0,200.0,300.0,INTRADAY,0.0,Upward
FINNIFTY,FINNIFTY24O0124950CE,Buy,190.0,165.0,250.0,INTRADAY,0.0,Upward
NIFTY,NIFTY24SEP26000PE,Buy,114.0,95.0,170.0,INTRADAY,0.0,Upward
NIFTY,NIFTY24SEP25900CE,Buy,135.0,120.0,170.0,INTRADAY,0.0,Upward
