Date,Sender,Message
2024-12-03 14:14:36+00:00,-1001236360901,"Total Subscription in Recently listed SMEs which hit 90% Upper Circuit in Pre Open 


1. Ganesh Infra : 22,993 Cr (Yet to List)
2. Lakshya Power: 19,493 Cr 
3. Sahasra Electronics : 15,112 Cr
4. Rajputana Bio : 11,624 Cr 
5. C2C Advanced : 8257 Cr
6. Rajesh Power : 6344 Cr"
2024-12-03 13:24:56+00:00,-1001236360901,Suraksha Diagnostic IPO Final Subscription Figures
2024-12-03 12:57:24+00:00,-1001236360901,Massive Buying by FIIs today
2024-12-03 12:24:49+00:00,-1001236360901,Trafiksol SME IPO Cancelled
2024-12-03 10:29:51+00:00,-1001236360901,"🚨BREAKING

GMP Activated in Suraksha Diagnostic IPO 

2 (0.5%)"
2024-12-03 10:19:58+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 3:45 PM

QIB 294Cr 1.75x

Application wise
bHNI 835 0.21x
sHNI 1840 0.91x
Retail 143268 0.73x

GMP Not Activated"
2024-12-03 09:45:57+00:00,-1001236360901,"This year, 75% of the 76 newly listed companies delivered positive listing day returns, averaging 28%. 

Notably, KRN Heat Exchanger, Bajaj Housing Finance, BLS E-Services, and Vibhor Steel Tubes gained over 100% on debut.

A SEBI study found 54% of IPO shares allotted to retail investors were sold within a week."
2024-12-03 09:29:15+00:00,-1001236360901,2024 : A great year for IPOs
2024-12-03 09:15:05+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 2:45 PM

QIB 252Cr 1.5x

Application wise
bHNI 595 0.15x
sHNI 1191 0.6x
Retail 140794 0.71x

GMP Not Activated"
2024-12-03 08:47:12+00:00,-1001236360901,"Ganesh Infraworld SME IPO Subscription Figures at 2:15PM

QIB 1454 82x
HNI 391x
Retail 186x (Applications 435647)

GMP 1.2L

Closing Today"
2024-12-03 07:58:40+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 1:30 PM

QIB 83Cr 0.5x

Application wise
bHNI 332 0.08x
sHNI 872 0.43x
Retail 137724 0.7x

GMP Not Activated"
2024-12-03 07:17:04+00:00,-1001236360901,"Ganesh Infraworld SME IPO Subscription Figures at 12:45PM

QIB 261Cr 14.74x
HNI 211x
Retail 135.84x (317867 Applications)

GMP 1.2L

Closing Today"
2024-12-03 06:40:27+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 12:00 PM

QIB 0x

Application wise
bHNI 133 0.03x
sHNI 598 0.3x
Retail 126934 0.64x

GMP Not Activated"
2024-12-03 06:10:12+00:00,-1001236360901,"NEW SME IPO

Purple United Sales

Price : 121 - 126 
Lot : 1000 shares
Date : 11-13 December 
Size : 32.81 crore"
2024-12-03 05:35:00+00:00,-1001236360901,"NEW SME IPO 🔥

Jungle Camps SME IPO

Price : 68 to 72 
Lot : 1600 shares
Date : 10-12 December 
Size : 29.41 crore

GMP 64000"
2024-12-03 05:05:11+00:00,-1001236360901,"Blockbuster Listing in Rajputana SME IPO as well

Seems like SME IPO charm is back"
2024-12-03 04:35:01+00:00,-1001236360901,"Despite all the negativity C2C SME IPO listed at 90% Upper Circuit

Hit another Upper Circuit post listing

100% up now"
2024-12-03 04:23:46+00:00,-1001236360901,"NTPC Green Energy IPO Locked in 10% Upper Circuit 

Give me🔥if you are holding it"
2024-12-03 04:05:02+00:00,-1001236360901,"IPO Events for Today 

 🗓️ Tuesday, 03 December 2024

📕 𝗖𝗹𝗼𝘀𝗶𝗻𝗴 𝗧𝗼𝗱𝗮𝘆 
⭐ Suraksha Diagnostic Main Board 
⭐ Ganesh Infraworld SME 

💬 𝗔𝗹𝗹𝗼𝘁𝗺𝗲𝗻𝘁 
⭐ Agarwal Glass SME 

💵 𝗥𝗲𝗳𝘂𝗻𝗱/𝗖𝗿𝗲𝗱𝗶𝘁 
⭐ Apex Ecotech SME 
⭐ Abha Power & Steel SME 

📝 𝗟𝗶𝘀𝘁𝗶𝗻𝗴 
⭐ Rajputana Biodiesel SME 
⭐ C2C Advanced SME"
2024-12-02 16:58:52+00:00,-1001236360901,"Suraksha Diagnostic IPO Final Decision
https://youtu.be/QFvS6KRi8a0"
2024-12-02 16:07:53+00:00,-1001236360901,"Expected MainBoard IPOs in coming days:

1. Vishal Mega Mart - ₹8,000 crore
2. Avanse Financial - ₹3,500 crore
3. Transrail Lighting - ₹922 crore
4. One Mobikwik - ₹700 crore
5. Senores Pharma - ₹600 crore
6. Solarworld Energy - ₹490 crore
7. Patel Retail Limited - ₹285 crore
8. Quadrant Future Tek - ₹275 crore
9. Indo Farm Equipment - ₹225 crore
10. Denta Water And Infra - ₹200 crore
11. Mamata Machinery - ₹175 crore"
2024-12-02 15:25:36+00:00,-1001236360901,"Top 5 MainBoard IPOs of 2024 (in term of Gains %)

1. Jyoti CNC (+276%) 
2. KRN Heat (+255%) 
3. Premier Energies (+172%) 
4. Platinum Ind (+151%) 
5. Bharti Hexacom (+141%)"
2024-12-02 14:47:45+00:00,-1001236360901,"C2C Advanced Systems SME IPO to list tomorrow

GMP 1.44L (106%)"
2024-12-02 14:08:00+00:00,-1001236360901,"Market Review | Portfolio Update | Scrips in Action for Tomorrow
https://youtu.be/lhhH7BGr7Qs"
2024-12-02 13:37:55+00:00,-1001236360901,Rajesh Power SME IPO Listing Day Bulk Deals
2024-12-02 13:05:23+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 2 Subscription Figures

GMP 0"
2024-12-02 12:51:59+00:00,-1001236360901,FIIs were net sellers today
2024-12-02 07:47:42+00:00,-1001236360901,"C2C Advanced Systems SME IPO Allotment

https://linkintime.co.in/initial_offer/public-issues.html

GMP 1.34L (100%)"
2024-12-02 07:24:48+00:00,-1001236360901,"GMP Activated

42000"
2024-12-02 05:27:35+00:00,-1001236360901,"IPO Events for Today 

 🗓️ 02 December 2024

📕 𝗖𝗹𝗼𝘀𝗶𝗻𝗴 𝗧𝗼𝗱𝗮𝘆 
⭐ Agarwal Glass

⌚ 𝗢𝗻𝗴𝗼𝗶𝗻𝗴 
⭐ Suraksha Diagnostic Main Board 
⭐ Ganesh Infraworld

💬 𝗔𝗹𝗹𝗼𝘁𝗺𝗲𝗻𝘁 
⭐ Apex EcoTech
⭐ Abha Power & Steel

💵 𝗥𝗲𝗳𝘂𝗻𝗱/𝗖𝗿𝗲𝗱𝗶𝘁  
⭐ Rajputana Biodiesel 
 
📝 𝗟𝗶𝘀𝘁𝗶𝗻𝗴 
⭐ Rajesh Power BSE SME"
2024-12-02 05:10:35+00:00,-1001236360901,"Rajesh Power SME IPO Incredible Listing

Profit of ₹1,20,600 per lot
Last GMP 58000

Hits Upper Circuit post listing"
2024-12-01 16:05:16+00:00,-1001236360901,"Rajesh Power SME IPO Latest GMP

58000 (43%) New High

Listing Tomorrow

Retail Interest ⏫"
2024-12-01 11:39:58+00:00,-1001236360901,"The strong QIB participation in Hyundai’s IPO has sent a clear signal to multinational companies, prompting them to target the Indian market with large-scale IPOs."
2024-12-01 09:57:12+00:00,-1001236360901,Let’s see how the market reacts tomorrow
2024-12-01 06:58:21+00:00,-1001236360901,"SME IPO Latest GMP 

Ganesh 56000
Agarwal 10000
Nisus 40000
Rajesh 55000
Apex 60000
Rajputana 120000"
2024-11-30 13:48:11+00:00,-1001236360901,"Rajesh Power SME IPO Latest GMP

52000 (39%) New High

Listing on Monday"
2024-11-30 10:38:27+00:00,-1001236360901,"C2C Final Figures post withdrawals

Allotment on Monday"
2024-11-30 07:02:10+00:00,-1001236360901,"Nisus Finance SME IPO Latest GMP 

40,000 (28%)"
2024-11-30 06:26:16+00:00,-1001236360901,"Ganesh Infraworld SME IPO Anchor List

GMP 56000 (42%)"
2024-11-29 18:57:06+00:00,-1001236360901,Kaynes Tech may consider IPO for their semiconductor subsidiary
2024-11-29 18:14:34+00:00,-1001236360901,"Following Hyundai’s recent IPO success, LG is accelerating the process to launch its own public offering."
2024-11-29 17:16:02+00:00,-1001236360901,"Share Price of Swiggy in Unlisted Market was 500

IPO came at 390

CMP 470

Be very cautious of Unlisted Market"
2024-11-29 16:41:59+00:00,-1001236360901,IPO Month full of emotions comes to an end!
2024-11-29 16:10:20+00:00,-1001236360901,Apex Ecotech NSE SME IPO Final Subscription Figures
2024-11-29 15:19:58+00:00,-1001236360901,"Enviro Infra IPO Post Listing Discussion | Recent IPOs in Action | Premier Energies IPO
https://youtu.be/CTrPe4r0bDM"
2024-11-29 14:28:48+00:00,-1001236360901,Enviro Infra IPO Listing Day Bulk Deals
2024-11-29 13:32:09+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 1 Subscription Figures

QIB 0

Application Wise
bHNI 12 
sHNI 139 0.07x
Retail 45009 0.23x

GMP 0"
2024-11-29 12:57:14+00:00,-1001236360901,FII were net sellers today
2024-11-29 09:06:08+00:00,-1001236360901,"GMP Activated in Suraksha 

10"
2024-11-29 06:53:16+00:00,-1001236360901,"Apex Ecotech SME IPO Anchor Investors Details

Closing Today 

GMP 54000 (47%)"
2024-11-29 06:22:31+00:00,-1001236360901,"New SME IPO

Emerald Tyre Manufacturers 

Date : 05-09 December 
Price: 90-95
Issue Size : 49.2 Cr 
Lot : 1200

LM : GYR Capital Advisors"
2024-11-29 05:12:42+00:00,-1001236360901,"Record Shattering Subscription in Rajputana Biodiesel SME IPO

Total ₹11,600Cr for a ₹24.7Cr IPO

Allotment Today

Latest GMP 100,000"
2024-11-29 04:25:06+00:00,-1001236360901,"Huge Disaster in Lamosaic SME IPO Listing

Listed at a discount of 18%, 36points.

Loss of 10,800"
2024-11-29 04:11:29+00:00,-1001236360901,"Enviro Infra IPO listed at a premium of 72

GMP Low of 10
GMP High 60
Last GMP 57

Retail Profit ₹7,272
HNI Profit ₹1,01,808

Fantastic Listing"
